name,seed,weights,preprocessor,num_classes,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1,pca_components,neighbors
exp_152,38,True,vggish,2,0.8297872340425532,0.8095238095238095,0.8947368421052632,0.8500000000000001,2,3
exp_155,38,False,ised_features,2,0.6808510638297872,0.6741573033707865,0.7894736842105263,0.7272727272727273,2,3
exp_154,38,True,ised_features,2,0.8936170212765957,0.9552238805970148,0.8421052631578947,0.8951048951048951,2,3
exp_153,38,False,vggish,2,0.8226950354609929,0.8227848101265823,0.8552631578947368,0.8387096774193549,2,3
