name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_760,38,ised,True,3,knn-3,0.9290780141843972,0.9666666666666667,0.8787878787878788,0.9206349206349207
exp_761,38,ised,False,3,knn-3,0.900709219858156,0.9333333333333333,0.8484848484848485,0.888888888888889
exp_762,38,vggish,True,3,knn-3,0.900709219858156,0.8939393939393939,0.8939393939393939,0.8939393939393939
exp_763,38,vggish,False,3,knn-3,0.900709219858156,0.9333333333333333,0.8484848484848485,0.888888888888889
exp_764,38,openl3-mel128-512-env,True,3,knn-3,0.9361702127659575,0.9672131147540983,0.8939393939393939,0.9291338582677166
exp_765,38,openl3-mel128-512-env,False,3,knn-3,0.8156028368794326,0.8333333333333334,0.7575757575757576,0.7936507936507938
exp_766,38,openl3-mel128-512-music,True,3,knn-3,0.9219858156028369,0.9104477611940298,0.9242424242424242,0.9172932330827067
exp_767,38,openl3-mel128-512-music,False,3,knn-3,0.8368794326241135,0.8307692307692308,0.8181818181818182,0.8244274809160306
exp_768,38,openl3-mel128-6144-env,True,3,knn-3,0.9078014184397163,0.9076923076923077,0.8939393939393939,0.900763358778626
exp_769,38,openl3-mel128-6144-env,False,3,knn-3,0.8368794326241135,0.8412698412698413,0.803030303030303,0.8217054263565892
exp_770,38,openl3-mel128-6144-music,True,3,knn-3,0.9432624113475178,0.953125,0.9242424242424242,0.9384615384615383
exp_771,38,openl3-mel128-6144-music,False,3,knn-3,0.8439716312056738,0.8548387096774194,0.803030303030303,0.828125
exp_772,38,openl3-mel256-512-env,True,3,knn-3,0.8652482269503546,0.8615384615384616,0.8484848484848485,0.8549618320610687
exp_773,38,openl3-mel256-512-env,False,3,knn-3,0.8297872340425532,0.85,0.7727272727272727,0.8095238095238095
exp_774,38,openl3-mel256-512-music,True,3,knn-3,0.8652482269503546,0.8852459016393442,0.8181818181818182,0.8503937007874016
exp_775,38,openl3-mel256-512-music,False,3,knn-3,0.8014184397163121,0.8392857142857143,0.7121212121212122,0.7704918032786886
exp_776,38,openl3-mel256-6144-env,True,3,knn-3,0.9290780141843972,0.9516129032258065,0.8939393939393939,0.921875
exp_777,38,openl3-mel256-6144-env,False,3,knn-3,0.8297872340425532,0.8,0.8484848484848485,0.823529411764706
exp_778,38,openl3-mel256-6144-music,True,3,knn-3,0.9148936170212766,0.9354838709677419,0.8787878787878788,0.90625
exp_779,38,openl3-mel256-6144-music,False,3,knn-3,0.8085106382978723,0.7910447761194029,0.803030303030303,0.7969924812030075
