name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_210,21,openl3-mel128-512-music,True,3,knn-3,0.950354609929078,0.9315068493150684,0.9714285714285714,0.9510489510489512
exp_211,21,openl3-mel128-512-music,True,3,knn-5,0.9432624113475178,0.9189189189189191,0.9714285714285714,0.9444444444444444
exp_212,21,openl3-mel128-512-music,True,3,knn-7,0.9290780141843972,0.9166666666666666,0.9428571428571428,0.9295774647887324
exp_213,21,openl3-mel128-512-music,True,3,svm-rbf,0.8723404255319149,0.9193548387096774,0.8142857142857143,0.8636363636363636
exp_214,21,openl3-mel128-512-music,True,3,svm-linear,0.9787234042553192,0.9589041095890408,1.0,0.9790209790209792
exp_215,21,openl3-mel128-512-music,True,3,svm-sigmoid,0.5035460992907801,0.0,0.0,0.0
exp_216,21,openl3-mel128-512-music,True,3,svm-poly-1,0.8085106382978723,0.9215686274509804,0.6714285714285714,0.7768595041322314
exp_217,21,openl3-mel128-512-music,True,3,svm-poly-2,0.8794326241134752,0.9206349206349206,0.8285714285714286,0.8721804511278196
exp_218,21,openl3-mel128-512-music,True,3,svm-poly-3,0.9219858156028368,0.9041095890410958,0.9428571428571428,0.923076923076923
exp_219,21,openl3-mel128-512-music,True,3,svm-poly-4,0.9290780141843972,0.9054054054054054,0.9571428571428572,0.9305555555555556
