name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_240,30,vggish,True,1,knn-3,0.8794326241134752,0.8648648648648649,0.9014084507042254,0.8827586206896552
exp_241,30,vggish,True,2,knn-3,0.8865248226950354,0.9104477611940298,0.8591549295774648,0.8840579710144928
exp_242,30,vggish,True,3,knn-3,0.9148936170212766,0.953846153846154,0.8732394366197183,0.9117647058823528
exp_243,30,vggish,True,4,knn-3,0.9290780141843972,0.9692307692307692,0.8873239436619719,0.9264705882352942
exp_244,30,vggish,False,1,knn-3,0.7730496453900709,0.7671232876712328,0.7887323943661971,0.7777777777777778
exp_245,30,vggish,False,2,knn-3,0.8226950354609929,0.8709677419354839,0.7605633802816901,0.8120300751879699
exp_246,30,vggish,False,3,knn-3,0.8581560283687943,0.8805970149253731,0.8309859154929577,0.8550724637681161
exp_247,30,vggish,False,4,knn-3,0.9219858156028368,0.9166666666666666,0.9295774647887324,0.9230769230769232
