name,seed,preprocessor,fischer_reweighting,n_components,n_neighbors,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_281,14,vggish,False,2,3,0.9078014184397164,0.9146341463414634,0.925925925925926,0.9202453987730062
exp_280,14,vggish,True,2,3,0.7446808510638298,0.9787234042553192,0.5679012345679012,0.71875
exp_299,14,openl3-mel256-6144-music,False,2,3,0.8652482269503546,0.8780487804878049,0.8888888888888888,0.8834355828220859
exp_298,14,openl3-mel256-6144-music,True,2,3,0.5319148936170213,1.0,0.1851851851851852,0.3125
exp_297,14,openl3-mel256-6144-env,False,2,3,0.8085106382978723,0.8375,0.8271604938271605,0.8322981366459627
exp_296,14,openl3-mel256-6144-env,True,2,3,0.6170212765957447,1.0,0.3333333333333333,0.5
exp_295,14,openl3-mel256-512-music,False,2,3,0.8297872340425532,0.8607594936708861,0.8395061728395061,0.8500000000000001
exp_294,14,openl3-mel256-512-music,True,2,3,0.7304964539007093,0.9215686274509804,0.5802469135802469,0.7121212121212122
exp_293,14,openl3-mel256-512-env,False,2,3,0.75177304964539,0.8108108108108109,0.7407407407407407,0.7741935483870969
exp_292,14,openl3-mel256-512-env,True,2,3,0.4964539007092199,1.0,0.12345679012345677,0.21978021978021972
exp_291,14,openl3-mel128-6144-music,False,2,3,0.9219858156028368,0.9375,0.925925925925926,0.9316770186335404
exp_290,14,openl3-mel128-6144-music,True,2,3,0.75177304964539,1.0,0.5679012345679012,0.7244094488188977
exp_289,14,openl3-mel128-6144-env,False,2,3,0.8156028368794326,0.8160919540229885,0.8765432098765432,0.8452380952380952
exp_288,14,openl3-mel128-6144-env,True,2,3,0.5602836879432624,1.0,0.2345679012345679,0.38
exp_287,14,openl3-mel128-512-music,False,2,3,0.8865248226950354,0.891566265060241,0.9135802469135802,0.9024390243902438
exp_286,14,openl3-mel128-512-music,True,2,3,0.7872340425531915,1.0,0.6296296296296297,0.7727272727272727
exp_285,14,openl3-mel128-512-env,False,2,3,0.8865248226950354,0.9220779220779219,0.8765432098765432,0.8987341772151898
exp_284,14,openl3-mel128-512-env,True,2,3,0.425531914893617,0.0,0.0,0.0
exp_283,14,ised,False,2,3,0.7872340425531915,0.7931034482758621,0.8518518518518519,0.8214285714285715
exp_282,14,ised,True,2,3,0.7943262411347518,0.8333333333333334,0.8024691358024691,0.8176100628930817
