name,seed,preprocessor,fischer_reweighting,n_components,n_neighbors,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_241,12,vggish,False,2,3,0.9078014184397164,0.9,0.935064935064935,0.9171974522292992
exp_240,12,vggish,True,2,3,0.7659574468085106,0.9782608695652174,0.5844155844155844,0.7317073170731707
exp_259,12,openl3-mel256-6144-music,False,2,3,0.7801418439716312,0.8194444444444444,0.7662337662337663,0.7919463087248323
exp_258,12,openl3-mel256-6144-music,True,2,3,0.7304964539007093,0.6695652173913044,1.0,0.8020833333333333
exp_257,12,openl3-mel256-6144-env,False,2,3,0.8156028368794326,0.8695652173913043,0.7792207792207793,0.821917808219178
exp_256,12,openl3-mel256-6144-env,True,2,3,0.6453900709219859,0.6062992125984252,1.0,0.7549019607843137
exp_255,12,openl3-mel256-512-music,False,2,3,0.8723404255319149,0.8734177215189873,0.8961038961038961,0.8846153846153846
exp_254,12,openl3-mel256-512-music,True,2,3,0.7801418439716312,0.7129629629629629,1.0,0.8324324324324325
exp_253,12,openl3-mel256-512-env,False,2,3,0.8368794326241135,0.875,0.8181818181818182,0.8456375838926175
exp_252,12,openl3-mel256-512-env,True,2,3,0.7092198581560284,0.652542372881356,1.0,0.7897435897435898
exp_251,12,openl3-mel128-6144-music,False,2,3,0.8865248226950354,0.8961038961038961,0.8961038961038961,0.8961038961038962
exp_250,12,openl3-mel128-6144-music,True,2,3,0.9290780141843972,0.9036144578313252,0.9740259740259741,0.9375
exp_249,12,openl3-mel128-6144-env,False,2,3,0.9078014184397164,0.8720930232558141,0.9740259740259741,0.9202453987730062
exp_248,12,openl3-mel128-6144-env,True,2,3,0.75177304964539,0.6909090909090909,0.987012987012987,0.8128342245989305
exp_247,12,openl3-mel128-512-music,False,2,3,0.9432624113475178,0.9058823529411764,1.0,0.9506172839506172
exp_246,12,openl3-mel128-512-music,True,2,3,0.8581560283687943,0.9672131147540984,0.7662337662337663,0.855072463768116
exp_245,12,openl3-mel128-512-env,False,2,3,0.9290780141843972,0.9036144578313252,0.9740259740259741,0.9375
exp_244,12,openl3-mel128-512-env,True,2,3,0.6879432624113475,0.6410256410256411,0.9740259740259741,0.7731958762886598
exp_243,12,ised,False,2,3,0.851063829787234,0.8684210526315791,0.8571428571428571,0.8627450980392157
exp_242,12,ised,True,2,3,0.8297872340425532,0.8840579710144928,0.7922077922077922,0.8356164383561644
