name,seed,weights,preprocessor,num_classes,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1,pca_components,neighbors
exp_87,21,False,ised_features,2,0.6950354609929078,0.6950354609929078,0.6950354609929078,0.6950354609929078,2,3
exp_86,21,True,ised_features,2,0.8865248226950354,0.8865248226950354,0.8865248226950354,0.8865248226950354,2,3
exp_84,21,True,vggish,2,0.8652482269503546,0.8652482269503546,0.8652482269503546,0.8652482269503546,2,3
exp_85,21,False,vggish,2,0.8865248226950354,0.8865248226950354,0.8865248226950354,0.8865248226950354,2,3
exp_79,19,False,ised_features,2,0.7092198581560284,0.7092198581560284,0.7092198581560284,0.7092198581560284,2,3
exp_77,19,False,vggish,2,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8723404255319149,2,3
exp_76,19,True,vggish,2,0.8156028368794326,0.8156028368794326,0.8156028368794326,0.8156028368794325,2,3
exp_78,19,True,ised_features,2,0.8652482269503546,0.8652482269503546,0.8652482269503546,0.8652482269503546,2,3
exp_42,10,True,ised_features,2,0.8794326241134752,0.8794326241134752,0.8794326241134752,0.8794326241134752,2,3
exp_43,10,False,ised_features,2,0.7092198581560284,0.7092198581560284,0.7092198581560284,0.7092198581560284,2,3
exp_41,10,False,vggish,2,0.8865248226950354,0.8865248226950354,0.8865248226950354,0.8865248226950354,2,3
exp_40,10,True,vggish,2,0.8439716312056738,0.8439716312056738,0.8439716312056738,0.8439716312056738,2,3
exp_68,17,True,vggish,2,0.9219858156028368,0.9219858156028368,0.9219858156028368,0.9219858156028368,2,3
exp_69,17,False,vggish,2,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8723404255319149,2,3
exp_70,17,True,ised_features,2,0.8439716312056738,0.8439716312056738,0.8439716312056738,0.8439716312056738,2,3
exp_71,17,False,ised_features,2,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.7446808510638298,2,3
exp_66,16,True,ised_features,2,0.8226950354609929,0.8226950354609929,0.8226950354609929,0.8226950354609928,2,3
exp_67,16,False,ised_features,2,0.7092198581560284,0.7092198581560284,0.7092198581560284,0.7092198581560284,2,3
exp_65,16,False,vggish,2,0.8297872340425532,0.8297872340425532,0.8297872340425532,0.8297872340425532,2,3
exp_64,16,True,vggish,2,0.8652482269503546,0.8652482269503546,0.8652482269503546,0.8652482269503546,2,3
exp_45,11,False,vggish,2,0.9290780141843972,0.9290780141843972,0.9290780141843972,0.9290780141843972,2,3
exp_44,11,True,vggish,2,0.8652482269503546,0.8652482269503546,0.8652482269503546,0.8652482269503546,2,3
exp_46,11,True,ised_features,2,0.8652482269503546,0.8652482269503546,0.8652482269503546,0.8652482269503546,2,3
exp_47,11,False,ised_features,2,0.7588652482269503,0.7588652482269503,0.7588652482269503,0.7588652482269503,2,3
exp_73,18,False,vggish,2,0.8226950354609929,0.8226950354609929,0.8226950354609929,0.8226950354609928,2,3
exp_74,18,True,ised_features,2,0.851063829787234,0.851063829787234,0.851063829787234,0.8510638297872339,2,3
exp_75,18,False,ised_features,2,0.6737588652482269,0.6737588652482269,0.6737588652482269,0.6737588652482269,2,3
exp_72,18,True,vggish,2,0.8439716312056738,0.8439716312056738,0.8439716312056738,0.8439716312056738,2,3
exp_80,20,True,vggish,2,0.8581560283687943,0.8581560283687943,0.8581560283687943,0.8581560283687943,2,3
exp_81,20,False,vggish,2,0.8297872340425532,0.8297872340425532,0.8297872340425532,0.8297872340425532,2,3
exp_83,20,False,ised_features,2,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.7446808510638298,2,3
exp_82,20,True,ised_features,2,0.9219858156028368,0.9219858156028368,0.9219858156028368,0.9219858156028368,2,3
exp_11,2,False,ised_features,2,0.7730496453900709,0.7730496453900709,0.7730496453900709,0.7730496453900709,2,3
exp_10,2,True,ised_features,2,0.9078014184397164,0.9078014184397164,0.9078014184397164,0.9078014184397164,2,3
exp_8,2,True,vggish,2,0.851063829787234,0.851063829787234,0.851063829787234,0.8510638297872339,2,3
exp_9,2,False,vggish,2,0.8226950354609929,0.8226950354609929,0.8226950354609929,0.8226950354609928,2,3
exp_20,5,True,vggish,2,0.851063829787234,0.851063829787234,0.851063829787234,0.8510638297872339,2,3
