name,seed,weights,preprocessor,num_classes,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1,pca_components,neighbors
exp_27,6,False,ised_features,2,0.7163120567375887,0.7307692307692307,0.75,0.7402597402597402,2,3
exp_26,6,True,ised_features,2,0.8865248226950354,0.9545454545454546,0.8289473684210527,0.8873239436619719,2,3
exp_24,6,True,vggish,2,0.8439716312056738,0.8857142857142857,0.8157894736842105,0.8493150684931505,2,3
exp_25,6,False,vggish,2,0.7872340425531915,0.8709677419354839,0.7105263157894737,0.7826086956521741,2,3
