name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_420,42,openl3-mel128-512-music,True,3,knn-3,0.9148936170212766,0.8873239436619719,0.9402985074626866,0.9130434782608696
exp_421,42,openl3-mel128-512-music,True,3,knn-5,0.9007092198581559,0.8840579710144928,0.9104477611940298,0.8970588235294118
exp_422,42,openl3-mel128-512-music,True,3,knn-7,0.9148936170212766,0.8873239436619719,0.9402985074626866,0.9130434782608696
exp_423,42,openl3-mel128-512-music,True,3,svm-rbf,0.9290780141843972,0.9130434782608696,0.9402985074626866,0.9264705882352942
exp_424,42,openl3-mel128-512-music,True,3,svm-linear,0.9078014184397164,0.8857142857142857,0.9253731343283582,0.9051094890510948
exp_425,42,openl3-mel128-512-music,True,3,svm-sigmoid,0.9078014184397164,0.8970588235294118,0.9104477611940298,0.9037037037037036
exp_426,42,openl3-mel128-512-music,True,3,svm-poly-1,0.9219858156028368,0.9117647058823528,0.9253731343283582,0.9185185185185184
exp_427,42,openl3-mel128-512-music,True,3,svm-poly-2,0.7021276595744681,0.6470588235294118,0.8208955223880597,0.7236842105263159
exp_428,42,openl3-mel128-512-music,True,3,svm-poly-3,0.8652482269503546,0.7926829268292683,0.9701492537313432,0.8724832214765101
exp_429,42,openl3-mel128-512-music,True,3,svm-poly-4,0.6737588652482269,0.6060606060606061,0.8955223880597015,0.7228915662650603
