,0
0,guitar
1,french-horn
2,double-bass
3,violin
4,bass-clarinet
5,trumpet
6,tuba
7,flute
8,banjo
9,cello
10,mandolin
11,bassoon
12,clarinet
13,viola
14,trombone
15,oboe
16,saxophone
17,english-horn
18,contrabassoon
