name,seed,preprocessor,fischer_reweighting,n_components,n_neighbors,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_427,21,openl3-mel128-512-music,False,2,3,0.8368794326241135,0.8,0.918918918918919,0.8553459119496855
exp_426,21,openl3-mel128-512-music,True,2,3,0.475177304964539,0.0,0.0,0.0
