name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_80,8,openl3-mel128-512-music,True,,knn-3,0.9858156028368794,0.976470588235294,1.0,0.9880952380952379
exp_81,8,openl3-mel128-512-music,True,,knn-5,0.9858156028368794,0.976470588235294,1.0,0.9880952380952379
exp_82,8,openl3-mel128-512-music,True,,knn-7,0.9716312056737588,0.9540229885057472,1.0,0.9764705882352941
exp_83,8,openl3-mel128-512-music,True,,svm-rbf,1.0,1.0,1.0,1.0
exp_84,8,openl3-mel128-512-music,True,,svm-linear,1.0,1.0,1.0,1.0
exp_85,8,openl3-mel128-512-music,True,,svm-sigmoid,0.9858156028368794,0.976470588235294,1.0,0.9880952380952379
exp_86,8,openl3-mel128-512-music,True,,svm-poly-1,1.0,1.0,1.0,1.0
exp_87,8,openl3-mel128-512-music,True,,svm-poly-2,0.9078014184397164,0.8645833333333334,1.0,0.9273743016759776
exp_88,8,openl3-mel128-512-music,True,,svm-poly-3,0.9219858156028368,0.8829787234042553,1.0,0.9378531073446328
exp_89,8,openl3-mel128-512-music,True,,svm-poly-4,0.7801418439716312,0.7280701754385965,1.0,0.8426395939086295
