name,seed,preprocessor,fischer_reweighting,n_components,n_neighbors,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_541,27,vggish,False,2,3,0.8794326241134752,0.9367088607594936,0.8604651162790697,0.8969696969696971
exp_540,27,vggish,True,2,3,0.6666666666666666,0.975609756097561,0.4651162790697674,0.6299212598425197
exp_559,27,openl3-mel256-6144-music,False,2,3,0.8581560283687943,0.9230769230769232,0.8372093023255814,0.878048780487805
exp_558,27,openl3-mel256-6144-music,True,2,3,0.6312056737588653,1.0,0.3953488372093023,0.5666666666666667
exp_557,27,openl3-mel256-6144-env,False,2,3,0.8156028368794326,0.8333333333333334,0.8720930232558141,0.8522727272727274
exp_556,27,openl3-mel256-6144-env,True,2,3,0.7801418439716312,0.9824561403508772,0.6511627906976745,0.7832167832167831
exp_555,27,openl3-mel256-512-music,False,2,3,0.7801418439716312,0.8481012658227848,0.7790697674418605,0.812121212121212
exp_554,27,openl3-mel256-512-music,True,2,3,0.524822695035461,1.0,0.22093023255813954,0.361904761904762
exp_553,27,openl3-mel256-512-env,False,2,3,0.8226950354609929,0.8426966292134831,0.8720930232558141,0.8571428571428571
exp_552,27,openl3-mel256-512-env,True,2,3,0.9148936170212766,0.9743589743589745,0.8837209302325582,0.9268292682926832
exp_551,27,openl3-mel128-6144-music,False,2,3,0.9007092198581559,0.9390243902439024,0.8953488372093024,0.9166666666666666
exp_550,27,openl3-mel128-6144-music,True,2,3,0.8085106382978723,0.953846153846154,0.7209302325581395,0.8211920529801324
exp_549,27,openl3-mel128-6144-env,False,2,3,0.8865248226950354,0.9166666666666666,0.8953488372093024,0.9058823529411764
exp_548,27,openl3-mel128-6144-env,True,2,3,0.8156028368794326,0.96875,0.7209302325581395,0.8266666666666667
exp_547,27,openl3-mel128-512-music,False,2,3,0.8723404255319149,0.8953488372093024,0.8953488372093024,0.8953488372093024
exp_546,27,openl3-mel128-512-music,True,2,3,0.9078014184397164,0.9740259740259741,0.8720930232558141,0.9202453987730062
exp_545,27,openl3-mel128-512-env,False,2,3,0.8226950354609929,0.8426966292134831,0.8720930232558141,0.8571428571428571
exp_544,27,openl3-mel128-512-env,True,2,3,0.8936170212765957,0.9733333333333334,0.8488372093023255,0.906832298136646
exp_543,27,ised,False,2,3,0.8581560283687943,0.902439024390244,0.8604651162790697,0.8809523809523809
exp_542,27,ised,True,2,3,0.8652482269503546,0.8453608247422679,0.9534883720930232,0.8961748633879781
