name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_680,34,ised,True,16,knn-3,0.8723404255319149,0.8641975308641975,0.9090909090909092,0.8860759493670887
exp_681,34,ised,False,16,knn-3,0.8297872340425532,0.8192771084337349,0.8831168831168831,0.85
exp_682,34,vggish,True,16,knn-3,0.9219858156028368,0.9125,0.9480519480519479,0.929936305732484
exp_683,34,vggish,False,16,knn-3,0.9290780141843972,0.9135802469135802,0.9610389610389609,0.9367088607594936
exp_684,34,openl3-mel128-512-env,True,16,knn-3,0.9929078014184396,0.9871794871794872,1.0,0.9935483870967742
exp_685,34,openl3-mel128-512-env,False,16,knn-3,0.9929078014184396,0.9871794871794872,1.0,0.9935483870967742
exp_686,34,openl3-mel128-512-music,True,16,knn-3,0.9645390070921984,0.9615384615384616,0.9740259740259741,0.967741935483871
exp_687,34,openl3-mel128-512-music,False,16,knn-3,0.950354609929078,0.9487179487179488,0.9610389610389609,0.9548387096774196
exp_688,34,openl3-mel128-6144-env,True,16,knn-3,0.9858156028368794,0.9746835443037974,1.0,0.9871794871794872
exp_689,34,openl3-mel128-6144-env,False,16,knn-3,0.9645390070921984,0.95,0.987012987012987,0.968152866242038
exp_690,34,openl3-mel128-6144-music,True,16,knn-3,0.9787234042553192,0.9625,1.0,0.980891719745223
exp_691,34,openl3-mel128-6144-music,False,16,knn-3,0.9574468085106383,0.9610389610389609,0.9610389610389609,0.9610389610389609
exp_692,34,openl3-mel256-512-env,True,16,knn-3,0.9787234042553192,0.986842105263158,0.9740259740259741,0.9803921568627452
exp_693,34,openl3-mel256-512-env,False,16,knn-3,0.9716312056737588,0.9506172839506172,1.0,0.9746835443037974
exp_694,34,openl3-mel256-512-music,True,16,knn-3,0.9574468085106383,0.9493670886075948,0.9740259740259741,0.9615384615384616
exp_695,34,openl3-mel256-512-music,False,16,knn-3,0.9574468085106383,0.9610389610389609,0.9610389610389609,0.9610389610389609
exp_696,34,openl3-mel256-6144-env,True,16,knn-3,0.9787234042553192,0.9625,1.0,0.980891719745223
exp_697,34,openl3-mel256-6144-env,False,16,knn-3,0.9716312056737588,0.9620253164556962,0.987012987012987,0.9743589743589742
exp_698,34,openl3-mel256-6144-music,True,16,knn-3,0.9858156028368794,0.9746835443037974,1.0,0.9871794871794872
exp_699,34,openl3-mel256-6144-music,False,16,knn-3,0.9787234042553192,0.9743589743589745,0.987012987012987,0.9806451612903224
