name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_800,40,ised,True,16,knn-3,0.8014184397163121,0.8059701492537313,0.7826086956521741,0.7941176470588236
exp_801,40,ised,False,16,knn-3,0.8156028368794326,0.8307692307692308,0.7826086956521741,0.8059701492537313
exp_802,40,vggish,True,16,knn-3,0.9148936170212766,0.9130434782608696,0.9130434782608696,0.9130434782608696
exp_803,40,vggish,False,16,knn-3,0.9290780141843972,0.9402985074626866,0.9130434782608696,0.9264705882352942
exp_804,40,openl3-mel128-512-env,True,16,knn-3,0.9858156028368794,1.0,0.9710144927536232,0.9852941176470588
exp_805,40,openl3-mel128-512-env,False,16,knn-3,0.9645390070921984,0.9848484848484848,0.9420289855072465,0.962962962962963
exp_806,40,openl3-mel128-512-music,True,16,knn-3,0.9716312056737588,1.0,0.9420289855072465,0.9701492537313432
exp_807,40,openl3-mel128-512-music,False,16,knn-3,0.9645390070921984,1.0,0.927536231884058,0.962406015037594
exp_808,40,openl3-mel128-6144-env,True,16,knn-3,0.9858156028368794,1.0,0.9710144927536232,0.9852941176470588
exp_809,40,openl3-mel128-6144-env,False,16,knn-3,0.9645390070921984,1.0,0.927536231884058,0.962406015037594
exp_810,40,openl3-mel128-6144-music,True,16,knn-3,0.9929078014184396,1.0,0.9855072463768116,0.9927007299270074
exp_811,40,openl3-mel128-6144-music,False,16,knn-3,0.9645390070921984,1.0,0.927536231884058,0.962406015037594
exp_812,40,openl3-mel256-512-env,True,16,knn-3,0.9858156028368794,1.0,0.9710144927536232,0.9852941176470588
exp_813,40,openl3-mel256-512-env,False,16,knn-3,0.9858156028368794,1.0,0.9710144927536232,0.9852941176470588
exp_814,40,openl3-mel256-512-music,True,16,knn-3,0.9716312056737588,1.0,0.9420289855072465,0.9701492537313432
exp_815,40,openl3-mel256-512-music,False,16,knn-3,0.9645390070921984,1.0,0.927536231884058,0.962406015037594
exp_816,40,openl3-mel256-6144-env,True,16,knn-3,0.9858156028368794,1.0,0.9710144927536232,0.9852941176470588
exp_817,40,openl3-mel256-6144-env,False,16,knn-3,0.9716312056737588,1.0,0.9420289855072465,0.9701492537313432
exp_818,40,openl3-mel256-6144-music,True,16,knn-3,0.9858156028368794,1.0,0.9710144927536232,0.9852941176470588
exp_819,40,openl3-mel256-6144-music,False,16,knn-3,0.9787234042553192,1.0,0.9565217391304348,0.9777777777777776
