name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_300,30,openl3-mel128-512-music,True,16,knn-3,0.9432624113475178,0.9315068493150684,0.9577464788732394,0.9444444444444444
exp_301,30,openl3-mel128-512-music,True,16,knn-5,0.9078014184397164,0.9027777777777778,0.9154929577464788,0.9090909090909092
exp_302,30,openl3-mel128-512-music,True,16,knn-7,0.9148936170212766,0.9154929577464788,0.9154929577464788,0.9154929577464788
exp_303,30,openl3-mel128-512-music,True,16,svm-rbf,0.9716312056737588,0.9466666666666668,1.0,0.9726027397260272
exp_304,30,openl3-mel128-512-music,True,16,svm-linear,0.9787234042553192,0.9594594594594594,1.0,0.9793103448275862
exp_305,30,openl3-mel128-512-music,True,16,svm-sigmoid,0.9716312056737588,0.9718309859154929,0.9718309859154929,0.9718309859154929
exp_306,30,openl3-mel128-512-music,True,16,svm-poly-1,1.0,1.0,1.0,1.0
exp_307,30,openl3-mel128-512-music,True,16,svm-poly-2,0.8226950354609929,0.925925925925926,0.7042253521126759,0.7999999999999999
exp_308,30,openl3-mel128-512-music,True,16,svm-poly-3,0.9361702127659576,0.984375,0.8873239436619719,0.9333333333333332
exp_309,30,openl3-mel128-512-music,True,16,svm-poly-4,0.7163120567375887,0.9189189189189191,0.4788732394366197,0.6296296296296297
