name,seed,preprocessor,fischer_reweighting,n_components,n_neighbors,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_301,15,vggish,False,2,3,0.9574468085106383,0.975609756097561,0.9523809523809524,0.9638554216867471
exp_300,15,vggish,True,2,3,0.9432624113475178,0.975,0.9285714285714286,0.9512195121951221
exp_319,15,openl3-mel256-6144-music,False,2,3,0.8936170212765957,0.8709677419354839,0.9642857142857144,0.9152542372881356
exp_318,15,openl3-mel256-6144-music,True,2,3,0.8156028368794326,0.8536585365853658,0.8333333333333334,0.8433734939759037
exp_317,15,openl3-mel256-6144-env,False,2,3,0.8297872340425532,0.8571428571428571,0.8571428571428571,0.8571428571428571
exp_316,15,openl3-mel256-6144-env,True,2,3,0.9290780141843972,0.9204545454545454,0.9642857142857144,0.9418604651162791
exp_315,15,openl3-mel256-512-music,False,2,3,0.9290780141843972,0.9302325581395348,0.9523809523809524,0.9411764705882352
exp_314,15,openl3-mel256-512-music,True,2,3,0.8226950354609929,0.8390804597701149,0.8690476190476191,0.8538011695906432
exp_313,15,openl3-mel256-512-env,False,2,3,0.9078014184397164,0.9080459770114944,0.9404761904761904,0.9239766081871346
exp_312,15,openl3-mel256-512-env,True,2,3,0.9716312056737588,0.9651162790697676,0.988095238095238,0.9764705882352942
exp_311,15,openl3-mel128-6144-music,False,2,3,0.9007092198581559,0.9069767441860463,0.9285714285714286,0.9176470588235294
exp_310,15,openl3-mel128-6144-music,True,2,3,0.8368794326241135,0.984126984126984,0.7380952380952381,0.8435374149659863
exp_309,15,openl3-mel128-6144-env,False,2,3,0.7872340425531915,0.8292682926829268,0.8095238095238095,0.8192771084337348
exp_308,15,openl3-mel128-6144-env,True,2,3,0.9148936170212766,1.0,0.8571428571428571,0.923076923076923
exp_307,15,openl3-mel128-512-music,False,2,3,0.9432624113475178,0.9523809523809524,0.9523809523809524,0.9523809523809524
exp_306,15,openl3-mel128-512-music,True,2,3,0.8297872340425532,1.0,0.7142857142857143,0.8333333333333333
exp_305,15,openl3-mel128-512-env,False,2,3,0.8865248226950354,0.8777777777777778,0.9404761904761904,0.9080459770114944
exp_304,15,openl3-mel128-512-env,True,2,3,0.9574468085106383,0.9534883720930232,0.9761904761904762,0.9647058823529412
exp_303,15,ised,False,2,3,0.8439716312056738,0.8522727272727273,0.8928571428571429,0.8720930232558141
exp_302,15,ised,True,2,3,0.7872340425531915,0.8068181818181818,0.8452380952380952,0.8255813953488372
