,0
0,french-horn
1,english-horn
2,violin
3,trombone
4,clarinet
5,contrabassoon
6,guitar
7,trumpet
8,viola
9,flute
10,tuba
11,saxophone
12,bassoon
13,oboe
14,cello
15,banjo
16,double-bass
17,mandolin
18,bass-clarinet
