name,seed,weights,preprocessor,num_classes,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1,pca_components,neighbors
exp_160,10,True,openl3_mel128_music_512,2,0.9574468085106383,0.9803921568627452,0.9090909090909092,0.9433962264150944,2,3
exp_161,10,False,openl3_mel128_music_512,2,0.8936170212765957,0.8571428571428571,0.8727272727272727,0.8648648648648648,2,3
exp_162,10,True,openl3_mel128_music_6144,2,0.950354609929078,0.98,0.8909090909090909,0.9333333333333332,2,3
exp_163,10,False,openl3_mel128_music_6144,2,0.8865248226950354,0.8679245283018868,0.8363636363636363,0.8518518518518519,2,3
exp_164,10,True,openl3_mel128_env_512,2,0.9645390070921984,0.9807692307692308,0.9272727272727272,0.9532710280373832,2,3
exp_165,10,False,openl3_mel128_env_512,2,0.8439716312056738,0.8367346938775511,0.7454545454545455,0.7884615384615385,2,3
exp_166,10,True,openl3_mel128_env_6144,2,0.9574468085106383,0.9622641509433962,0.9272727272727272,0.9444444444444444,2,3
exp_167,10,False,openl3_mel128_env_6144,2,0.8723404255319149,0.8627450980392157,0.8,0.8301886792452831,2,3
exp_168,10,True,openl3_mel256_music_512,2,0.9219858156028368,0.9074074074074074,0.8909090909090909,0.8990825688073394,2,3
exp_169,10,False,openl3_mel256_music_512,2,0.851063829787234,0.8035714285714286,0.8181818181818182,0.8108108108108109,2,3
exp_170,10,True,openl3_mel256_music_6144,2,0.9574468085106383,0.9454545454545454,0.9454545454545454,0.9454545454545454,2,3
exp_171,10,False,openl3_mel256_music_6144,2,0.8014184397163121,0.7142857142857143,0.8181818181818182,0.7627118644067797,2,3
exp_172,10,True,openl3_mel256_env_512,2,0.9574468085106383,0.9454545454545454,0.9454545454545454,0.9454545454545454,2,3
exp_173,10,False,openl3_mel256_env_512,2,0.7375886524822695,0.65,0.7090909090909091,0.6782608695652174,2,3
exp_174,10,True,openl3_mel256_env_6144,2,0.950354609929078,0.9444444444444444,0.9272727272727272,0.9357798165137616,2,3
exp_175,10,False,openl3_mel256_env_6144,2,0.7021276595744681,0.6140350877192983,0.6363636363636364,0.625,2,3
