name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_71,6,openl3-mel256-512-music,False,,svm-sigmoid,0.8794326241134752,1.0,0.7605633802816901,0.8640000000000001
exp_69,6,openl3-mel256-512-music,False,,svm-rbf,0.9574468085106383,1.0,0.9154929577464788,0.9558823529411764
exp_76,6,openl3-mel256-512-music,False,,svm-poly-4,0.8865248226950354,0.8666666666666667,0.9154929577464788,0.8904109589041095
exp_75,6,openl3-mel256-512-music,False,,svm-poly-3,0.9645390070921984,0.9583333333333334,0.9718309859154928,0.965034965034965
exp_74,6,openl3-mel256-512-music,False,,svm-poly-2,0.8723404255319149,1.0,0.7464788732394366,0.8548387096774194
exp_73,6,openl3-mel256-512-music,False,,svm-poly-1,0.9645390070921984,1.0,0.9295774647887324,0.9635036496350364
exp_72,6,openl3-mel256-512-music,False,,svm-poly-0,0.4964539007092199,0.0,0.0,0.0
exp_70,6,openl3-mel256-512-music,False,,svm-linear,0.9929078014184396,1.0,0.9859154929577464,0.9929078014184396
exp_68,6,openl3-mel256-512-music,False,,knn-7,0.9432624113475178,1.0,0.8873239436619719,0.9402985074626864
exp_67,6,openl3-mel256-512-music,False,,knn-5,0.9432624113475178,1.0,0.8873239436619719,0.9402985074626864
exp_66,6,openl3-mel256-512-music,False,,knn-3,0.9361702127659576,1.0,0.8732394366197183,0.9323308270676692
