name,seed,preprocessor,fischer_reweighting,n_components,n_neighbors,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_21,1,vggish,False,2,3,0.8936170212765957,0.8837209302325582,0.9382716049382716,0.9101796407185628
exp_20,1,vggish,True,2,3,0.8652482269503546,0.8163265306122449,0.9876543209876544,0.893854748603352
exp_39,1,openl3-mel256-6144-music,False,2,3,0.8368794326241135,0.8717948717948718,0.8395061728395061,0.8553459119496856
exp_38,1,openl3-mel256-6144-music,True,2,3,0.9361702127659576,0.9390243902439024,0.9506172839506172,0.9447852760736196
exp_37,1,openl3-mel256-6144-env,False,2,3,0.7304964539007093,0.7721518987341772,0.7530864197530864,0.7625
exp_36,1,openl3-mel256-6144-env,True,2,3,0.6524822695035462,1.0,0.3950617283950617,0.5663716814159292
exp_35,1,openl3-mel256-512-music,False,2,3,0.8723404255319149,0.8539325842696629,0.9382716049382716,0.8941176470588234
exp_34,1,openl3-mel256-512-music,True,2,3,0.8794326241134752,0.9210526315789472,0.8641975308641975,0.89171974522293
exp_33,1,openl3-mel256-512-env,False,2,3,0.8014184397163121,0.8117647058823529,0.8518518518518519,0.8313253012048193
exp_32,1,openl3-mel256-512-env,True,2,3,0.7021276595744681,1.0,0.4814814814814815,0.65
exp_31,1,openl3-mel128-6144-music,False,2,3,0.8936170212765957,0.9125,0.9012345679012346,0.906832298136646
exp_30,1,openl3-mel128-6144-music,True,2,3,0.9290780141843972,0.8988764044943821,0.9876543209876544,0.9411764705882352
exp_29,1,openl3-mel128-6144-env,False,2,3,0.8652482269503546,0.8974358974358975,0.8641975308641975,0.880503144654088
exp_28,1,openl3-mel128-6144-env,True,2,3,0.9219858156028368,0.9069767441860463,0.9629629629629628,0.934131736526946
exp_27,1,openl3-mel128-512-music,False,2,3,0.8865248226950354,0.9220779220779219,0.8765432098765432,0.8987341772151898
exp_26,1,openl3-mel128-512-music,True,2,3,0.8794326241134752,0.8265306122448979,1.0,0.905027932960894
exp_25,1,openl3-mel128-512-env,False,2,3,0.9361702127659576,0.9390243902439024,0.9506172839506172,0.9447852760736196
exp_24,1,openl3-mel128-512-env,True,2,3,0.9148936170212766,0.8791208791208791,0.9876543209876544,0.9302325581395348
exp_23,1,ised,False,2,3,0.7943262411347518,0.8333333333333334,0.8024691358024691,0.8176100628930817
exp_22,1,ised,True,2,3,0.8226950354609929,0.8589743589743589,0.8271604938271605,0.8427672955974842
