name,seed,weights,preprocessor,num_classes,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1,pca_components,neighbors
exp_50,12,True,ised_features,2,0.7801418439716312,0.7910447761194029,0.7571428571428571,0.7737226277372262,2,3
exp_51,12,False,ised_features,2,0.6808510638297872,0.6712328767123288,0.7,0.6853146853146853,2,3
exp_48,12,True,vggish,2,0.8226950354609929,0.7922077922077922,0.8714285714285714,0.8299319727891157,2,3
exp_49,12,False,vggish,2,0.8156028368794326,0.8055555555555556,0.8285714285714286,0.8169014084507044,2,3
