name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_490,49,openl3-mel128-512-music,True,3,knn-3,0.9645390070921984,0.9589041095890408,0.9722222222222222,0.9655172413793104
exp_491,49,openl3-mel128-512-music,True,3,knn-5,0.9574468085106383,0.945945945945946,0.9722222222222222,0.9589041095890412
exp_492,49,openl3-mel128-512-music,True,3,knn-7,0.9574468085106383,0.945945945945946,0.9722222222222222,0.9589041095890412
exp_493,49,openl3-mel128-512-music,True,3,svm-rbf,0.9361702127659576,0.9565217391304348,0.9166666666666666,0.9361702127659574
exp_494,49,openl3-mel128-512-music,True,3,svm-linear,1.0,1.0,1.0,1.0
exp_495,49,openl3-mel128-512-music,True,3,svm-sigmoid,0.5106382978723404,0.5106382978723404,1.0,0.676056338028169
exp_496,49,openl3-mel128-512-music,True,3,svm-poly-1,0.9219858156028368,0.9552238805970148,0.8888888888888888,0.9208633093525178
exp_497,49,openl3-mel128-512-music,True,3,svm-poly-2,0.9290780141843972,0.9428571428571428,0.9166666666666666,0.9295774647887324
exp_498,49,openl3-mel128-512-music,True,3,svm-poly-3,0.9432624113475178,0.9571428571428572,0.9305555555555556,0.943661971830986
exp_499,49,openl3-mel128-512-music,True,3,svm-poly-4,0.9574468085106383,0.9583333333333334,0.9583333333333334,0.9583333333333334
