,0
0,saxophone
1,flute
2,guitar
3,contrabassoon
4,bass-clarinet
5,trombone
6,cello
7,oboe
8,bassoon
9,banjo
10,mandolin
11,tuba
12,viola
13,french-horn
14,english-horn
15,violin
16,double-bass
17,trumpet
18,clarinet
