name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_410,41,openl3-mel128-512-music,True,3,knn-3,0.8581560283687943,0.8909090909090909,0.7777777777777778,0.8305084745762712
exp_411,41,openl3-mel128-512-music,True,3,knn-5,0.851063829787234,0.903846153846154,0.7460317460317459,0.8173913043478261
exp_412,41,openl3-mel128-512-music,True,3,knn-7,0.8581560283687943,0.9215686274509804,0.7460317460317459,0.8245614035087719
exp_413,41,openl3-mel128-512-music,True,3,svm-rbf,0.8723404255319149,0.9090909090909092,0.7936507936507936,0.8474576271186439
exp_414,41,openl3-mel128-512-music,True,3,svm-linear,0.8439716312056738,0.9019607843137256,0.7301587301587301,0.8070175438596492
exp_415,41,openl3-mel128-512-music,True,3,svm-sigmoid,0.8085106382978723,0.8913043478260869,0.6507936507936508,0.7522935779816514
exp_416,41,openl3-mel128-512-music,True,3,svm-poly-1,0.8439716312056738,0.8867924528301887,0.7460317460317459,0.8103448275862069
exp_417,41,openl3-mel128-512-music,True,3,svm-poly-2,0.7021276595744681,0.92,0.36507936507936506,0.5227272727272727
exp_418,41,openl3-mel128-512-music,True,3,svm-poly-3,0.7801418439716312,0.9444444444444444,0.5396825396825397,0.6868686868686867
exp_419,41,openl3-mel128-512-music,True,3,svm-poly-4,0.6524822695035462,0.8888888888888888,0.25396825396825395,0.3950617283950617
